data;genere;titolo;autore;descrizione;immagine;audio
2026/06/30;Romanzo Rosa;Sotto la luna di mezzanotte;Maurizio Guida;Libro rosa psicologico;https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a3857e5c50697c411d1c3c3.png;https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a61df9c7a83e05cd035aa90.m4a
2026/06/30;Romanzo Rosa;Sotto la luna di mezzanotte;Maurizio Guida;Libro rosa psicologico;https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a3857e5c50697c411d1c3c3.png;https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a61df9c7a83e05cd035aa90.m4a
2026/06/30;Romanzo Rosa;Sotto la luna di mezzanotte;Maurizio Guida;Libro rosa psicologico;https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a3857e5c50697c411d1c3c3.png;https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a61df9c7a83e05cd035aa90.m4a
